OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE
PPDM,AREA_COMPONENT,WELL_ACTIVITY_UWI,1,PPDM,WELL_ACTIVITY,UWI,ACMP_WAC_FK,NO ACTION
PPDM,AREA_COMPONENT,WELL_ACTIVITY_SOURCE,2,PPDM,WELL_ACTIVITY,SOURCE,ACMP_WAC_FK,NO ACTION
PPDM,AREA_COMPONENT,ACTIVITY_OBS_NO,3,PPDM,WELL_ACTIVITY,ACTIVITY_OBS_NO,ACMP_WAC_FK,NO ACTION
PPDM,AREA_COMPONENT,STRAT_UNIT_ID,2,PPDM,STRAT_UNIT,STRAT_UNIT_ID,ACMP_STU_FK,NO ACTION
PPDM,AREA_COMPONENT,STRAT_NAME_SET_ID,1,PPDM,STRAT_UNIT,STRAT_NAME_SET_ID,ACMP_STU_FK,NO ACTION
PPDM,AREA_COMPONENT,SEIS_SET_TYPE,2,PPDM,SEIS_SET,SEIS_SET_TYPE,ACMP_SS_FK,NO ACTION
PPDM,AREA_COMPONENT,SEIS_SET_ID,1,PPDM,SEIS_SET,SEIS_SET_ID,ACMP_SS_FK,NO ACTION
PPDM,AREA_COMPONENT,SPATIAL_OBS_NO,2,PPDM,SPATIAL_DESCRIPTION,SPATIAL_OBS_NO,ACMP_SPD_FK,NO ACTION
PPDM,AREA_COMPONENT,SPATIAL_DESCRIPTION_ID,1,PPDM,SPATIAL_DESCRIPTION,SPATIAL_DESCRIPTION_ID,ACMP_SPD_FK,NO ACTION
PPDM,AREA_COMPONENT,SUPPORT_FACILITY_ID,1,PPDM,SF_SUPPORT_FACILITY,SUPPORT_FACILITY_ID,ACMP_SF_FK,NO ACTION
PPDM,AREA_COMPONENT,SF_TYPE,2,PPDM,SF_SUPPORT_FACILITY,SF_TYPE,ACMP_SF_FK,NO ACTION
PPDM,AREA_COMPONENT,SAMPLE_ANAL_SOURCE,2,PPDM,SAMPLE_ANALYSIS,SOURCE,ACMP_SA_FK,NO ACTION
PPDM,AREA_COMPONENT,ANALYSIS_ID,1,PPDM,SAMPLE_ANALYSIS,ANALYSIS_ID,ACMP_SA_FK,NO ACTION
PPDM,AREA_COMPONENT,AREA_COMPONENT_TYPE,1,PPDM,R_AREA_COMPONENT_TYPE,AREA_COMPONENT_TYPE,ACMP_R_ACMPT_FK,NO ACTION
PPDM,AREA_COMPONENT,RESENT_ID,1,PPDM,RESERVE_ENTITY,RESENT_ID,ACMP_RSE_FK,NO ACTION
PPDM,AREA_COMPONENT,RESERVE_CLASS_ID,1,PPDM,RESERVE_CLASS,RESERVE_CLASS_ID,ACMP_RSCL_FK,NO ACTION
PPDM,AREA_COMPONENT,THESAURUS_WORD_ID,2,PPDM,RM_THESAURUS_WORD,THESAURUS_WORD_ID,ACMP_RMTW_FK,NO ACTION
PPDM,AREA_COMPONENT,THESAURUS_ID,1,PPDM,RM_THESAURUS_WORD,THESAURUS_ID,ACMP_RMTW_FK,NO ACTION
PPDM,AREA_COMPONENT,PHYSICAL_ITEM_ID,1,PPDM,RM_PHYSICAL_ITEM,PHYSICAL_ITEM_ID,ACMP_RMPI_FK,NO ACTION
