TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WASTE_FACILITY_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_WASTE_HANDLING,SOURCE
R_SOURCE,SOURCE,R_WATER_DATUM,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_DOWNTIME_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_LEVEL_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_WELL_LIC_COND,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_LIC_COND_CODE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_LIC_VIOL_RESOL,ROW_QUALITY
R_SOURCE,SOURCE,R_WELL_LIC_VIOL_RESOL,SOURCE
R_SOURCE,SOURCE,R_WELL_SERV_METRIC_CODE,SOURCE
R_SOURCE,SOURCE,R_WO_BA_ROLE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WO_BA_ROLE,ROW_QUALITY
R_SOURCE,SOURCE,R_WO_COMPONENT_TYPE,SOURCE
R_SOURCE,SOURCE,R_WO_CONDITION,SOURCE
R_SOURCE,SOURCE,R_ACCESS_CONDITION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AIR_GAS_CODE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AUTHOR_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_BA_CATEGORY,ROW_QUALITY
R_SOURCE,SOURCE,R_BA_COMPONENT_TYPE,SOURCE
R_SOURCE,SOURCE,R_BA_LIC_DUE_CONDITION,SOURCE
R_SOURCE,SOURCE,R_BA_SERVICE_TYPE,SOURCE
R_SOURCE,SOURCE,R_BIT_CUT_STRUCT_INNER,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_BIT_CUT_STRUCT_OUTER,ROW_QUALITY
R_SOURCE,SOURCE,R_CAT_ADDITIVE_SPEC,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_ADDITIVE_XREF,ROW_QUALITY
R_SOURCE,SOURCE,R_CAT_EQUIP_SPEC,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CLASS_DESC_PROPERTY,ROW_QUALITY
R_SOURCE,SOURCE,R_CLASS_LEV_XREF_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CLASS_SYSTEM_DIMENSION,ROW_QUALITY
R_SOURCE,SOURCE,R_CLASS_SYST_XREF_TYPE,SOURCE
R_SOURCE,SOURCE,R_CONFIDENCE_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONFIDENTIAL_REASON,ROW_QUALITY
